image_name,english_caption,vietnamese_caption
img_01,"Two young guys with shaggy hair look at their hands while hanging out in the yard ",Hai chàng trai trẻ với mái tóc bù xù nhìn vào tay mình khi đang chơi đùa trong sân
img_02,Several men in hard hats are operating a giant pulley system,Một số người đàn ông đội mũ bảo hiểm đang vận hành một hệ thống ròng rọc khổng lồ
img_03,A child in a pink dress is climbing up a set of stairs in an entry way .,Một đứa trẻ mặc váy hồng đang trèo lên cầu thang ở lối vào.
img_04,Someone in a blue shirt and hat is standing on stair and leaning against a window ..,Một người nào đó mặc áo sơ mi xanh và đội mũ đang đứng trên cầu thang và dựa vào cửa sổ.
img_05,"Two men , one in a gray shirt , one in a black shirt , standing near a stove .","Hai người đàn ông, một người mặc áo sơ mi xám, một người mặc áo sơ mi đen, đang đứng gần bếp lò."
img_06,Two people in the photo are playing the guitar and the other is poking at him .,Hai người trong ảnh đang chơi đàn ghi-ta và người kia đang chọc anh ta.
img_07,A man sits in a chair while holding a large stuffed animal of a lion .,Một người đàn ông ngồi trên ghế trong khi cầm một con thú nhồi bông lớn hình con sư tử.
img_08,A trendy girl talking on her cellphone while gliding slowly down the street .,Một cô gái sành điệu vừa nói chuyện trên điện thoại di động vừa lướt chậm trên phố.
img_09,An asian man wearing a black suit stands near a dark-haired woman and a brown-haired woman .,Một người đàn ông châu Á mặc bộ đồ đen đứng gần một người phụ nữ tóc đen và một người phụ nữ tóc nâu.
img_10,"Two youths are jumping over a roadside railing , at night .

",Hai thanh niên đang nhảy qua lan can ven đường vào ban đêm.
